Date,Winner,Winner_Pts,Loser,Loser_Pts,Year
"Sep 3, 2015",Arizona,42.0,Texas-San Antonio,32.0,2015
"Sep 3, 2015",Ball State,48.0,Virginia Military Institute,36.0,2015
"Sep 3, 2015",Connecticut,20.0,Villanova,15.0,2015
"Sep 3, 2015",Duke,37.0,Tulane,7.0,2015
"Sep 3, 2015",Florida International,15.0,Central Florida,14.0,2015
"Sep 3, 2015",Fresno State,34.0,Abilene Christian,13.0,2015
"Sep 3, 2015",Georgia Tech,69.0,Alcorn State,6.0,2015
"Sep 3, 2015",Hawaii,28.0,Colorado,20.0,2015
"Sep 3, 2015",Nevada,31.0,California-Davis,17.0,2015
"Sep 3, 2015",Ohio,45.0,Idaho,28.0,2015
"Sep 3, 2015",Oklahoma State,24.0,Central Michigan,13.0,2015
"Sep 3, 2015",San Jose State,43.0,New Hampshire,13.0,2015
"Sep 3, 2015",South Carolina,17.0,North Carolina,13.0,2015
"Sep 3, 2015",Texas Christian,23.0,Minnesota,17.0,2015
"Sep 3, 2015",Utah,24.0,Michigan,17.0,2015
"Sep 3, 2015",Utah State,12.0,Southern Utah,9.0,2015
"Sep 3, 2015",Wake Forest,41.0,Elon,3.0,2015
"Sep 3, 2015",Western Kentucky,14.0,Vanderbilt,12.0,2015
"Sep 4, 2015",Baylor,56.0,Southern Methodist,21.0,2015
"Sep 4, 2015",Boise State,16.0,Washington,13.0,2015
"Sep 4, 2015",Charlotte,23.0,Georgia State,20.0,2015
"Sep 4, 2015",Fordham,37.0,Army,35.0,2015
"Sep 4, 2015",Michigan State,37.0,Western Michigan,24.0,2015
"Sep 4, 2015",Oregon State,26.0,Weber State,7.0,2015
"Sep 4, 2015",Syracuse,47.0,Rhode Island,0.0,2015
"Sep 5, 2015",Air Force,63.0,Morgan State,7.0,2015
"Sep 5, 2015",Alabama,35.0,Wisconsin,17.0,2015
"Sep 5, 2015",Appalachian State,49.0,Howard,0.0,2015
"Sep 5, 2015",Arkansas,48.0,Texas-El Paso,13.0,2015
"Sep 5, 2015",Auburn,31.0,Louisville,24.0,2015
"Sep 5, 2015",Boston College,24.0,Maine,3.0,2015
"Sep 5, 2015",Brigham Young,33.0,Nebraska,28.0,2015
"Sep 5, 2015",Buffalo,51.0,Albany,14.0,2015
"Sep 5, 2015",California,73.0,Grambling State,14.0,2015
"Sep 5, 2015",Cincinnati,52.0,Alabama A&M,10.0,2015
"Sep 5, 2015",Clemson,49.0,Wofford,10.0,2015
"Sep 5, 2015",Colorado State,65.0,Savannah State,13.0,2015
"Sep 5, 2015",East Carolina,28.0,Towson,20.0,2015
"Sep 5, 2015",Florida,61.0,New Mexico State,13.0,2015
"Sep 5, 2015",Florida State,59.0,Texas State,16.0,2015
"Sep 5, 2015",Georgia,51.0,Louisiana-Monroe,14.0,2015
"Sep 5, 2015",Houston,52.0,Tennessee Tech,24.0,2015
"Sep 5, 2015",Illinois,52.0,Kent State,3.0,2015
"Sep 5, 2015",Indiana,48.0,Southern Illinois,47.0,2015
"Sep 5, 2015",Iowa,31.0,Illinois State,14.0,2015
"Sep 5, 2015",Iowa State,31.0,Northern Iowa,7.0,2015
"Sep 5, 2015",Kansas State,34.0,South Dakota,0.0,2015
"Sep 5, 2015",Kentucky,40.0,Louisiana,33.0,2015
"Sep 5, 2015",Louisiana Tech,62.0,Southern,15.0,2015
"Sep 5, 2015",Maryland,50.0,Richmond,21.0,2015
"Sep 5, 2015",Memphis,63.0,Missouri State,7.0,2015
"Sep 5, 2015",Miami (FL),45.0,Bethune-Cookman,0.0,2015
"Sep 5, 2015",Miami (OH),26.0,Presbyterian,7.0,2015
"Sep 5, 2015",Middle Tennessee State,70.0,Jackson State,14.0,2015
"Sep 5, 2015",Mississippi,76.0,Tennessee-Martin,3.0,2015
"Sep 5, 2015",Mississippi State,34.0,Southern Mississippi,16.0,2015
"Sep 5, 2015",Missouri,34.0,Southeast Missouri State,3.0,2015
"Sep 5, 2015",Navy,48.0,Colgate,10.0,2015
"Sep 5, 2015",New Mexico,66.0,Mississippi Valley State,0.0,2015
"Sep 5, 2015",North Carolina State,49.0,Troy,21.0,2015
"Sep 5, 2015",North Dakota,24.0,Wyoming,13.0,2015
"Sep 5, 2015",Northern Illinois,38.0,Nevada-Las Vegas,30.0,2015
"Sep 5, 2015",Northwestern,16.0,Stanford,6.0,2015
"Sep 5, 2015",Notre Dame,38.0,Texas,3.0,2015
"Sep 5, 2015",Oklahoma,41.0,Akron,3.0,2015
"Sep 5, 2015",Old Dominion,38.0,Eastern Michigan,34.0,2015
"Sep 5, 2015",Oregon,61.0,Eastern Washington,42.0,2015
